index,lamost,RA,DEC,snr,snrr,Teff,Teff_err,logg,logg_err,Fe_H,Fe_H_err,RV,RV_err,sigma,sig_err
     38,J171600.79+110327.6,    259.0026550,     11.0576811,     19.9103870,     34.9700012,   3568.0024414,     42.0704346,      4.7001357,      0.0893317,     -0.2630081,      0.1720195,     33.7348862,      9.7991753,     50.8649940,     14.2481346
     39,J094355.56+265808.3,    145.9815063,     26.9689751,      7.4585128,     11.4099998,   3782.3337402,    184.2329102,      4.6161838,      0.4283637,     -0.4292301,      0.6895016,    266.3254395,    175.8497314,    690.7042847,    156.9967957
     40,J175300.62+165502.9,    268.2525940,     16.9174957,      7.6149650,     12.9399996,   3535.3100586,     59.9591370,      4.9321070,      0.1133317,     -0.9502297,      0.3971139,     75.6432419,     22.4305325,     89.1862640,     25.9514103
     41,J235832.65+073930.8,    359.6360474,      7.6585822,     24.6442184,     83.0599976,   3414.3862305,     31.9997387,      4.8882012,      0.0610015,     -0.2610756,      0.1529408,     70.5004959,      9.3968315,     68.2112427,     11.8834267
     42,J061442.79+472734.6,     93.6767426,     47.4596138,     24.1461411,     45.1100006,   3792.3383789,     50.1194611,      4.6769786,      0.1057553,     -0.0928042,      0.1319540,    101.1997986,      6.4314952,     34.1868744,     27.6025143
     43,J121220.32+542906.5,    183.0869141,     54.4857559,      4.0686703,    790.8300171,   3891.9663086,      1.2853649,      5.3065729,      0.0924566,     -0.0885215,      0.1463396,     48.9981995,     29.9841061,    106.7415314,     32.2463226
     44,J102420.19+115720.6,    156.0841370,     11.9557371,     57.4117355,    175.3300018,   3414.5434570,     19.8211098,      4.8676977,      0.0398495,     -0.4320370,      0.1158185,     78.7478409,      5.2500501,     50.0592880,      7.0399909
     45,J140219.93+134122.6,    210.5817719,     13.6896362,     47.4309006,    205.3800049,   3673.9096680,     30.5025215,      4.7882891,      0.0645601,     -0.0632892,      0.0933478,     75.2797928,      6.1901412,     36.1629066,      6.8882871
     46,J133421.83+044002.6,    203.5895844,      4.6674018,     12.7330236,    337.7099915,   3853.4868164,     74.2753525,      4.6342106,      0.1552405,      0.0016820,      0.1603352,    101.6702118,      3.0437706,     20.7089291,     -0.0000000
     47,J042232.00+103118.8,     65.6333694,     10.5218945,     17.9201298,    122.3899994,   3230.6271973,     35.6786880,      4.8413234,      0.0630117,      0.0631562,      0.1107840,    119.5697327,     10.2618990,     67.1037598,     13.8503885
     48,J044255.86+212822.9,     70.7327652,     21.4730415,     56.8679047,    404.7000122,   3280.3615723,     20.0074997,      4.8861341,      0.0363760,     -0.1346388,      0.0805578,     84.1486511,      4.8210478,     47.0269279,      6.9878063
     49,J165909.65+205816.7,    254.7902222,     20.9713116,     15.5519104,    202.7400055,   3213.6845703,     35.0746155,      4.7928176,      0.0596486,     -0.3741747,      0.1575224,     89.7712402,      9.7330017,     62.1294823,     12.8699646
     50,J060003.76+024223.2,     90.0145798,      2.7065690,     16.9403763,    226.5200043,   3146.7956543,     35.3123703,      4.8379292,      0.0523153,     -0.3031868,      0.1281223,    107.4891281,      9.1361370,     66.3443985,     12.0153952
     51,J045205.73+062835.3,     73.0238953,      6.4764762,     17.3506145,     34.5499992,   3216.3508301,     35.9554634,      4.8859668,      0.0604661,      0.0012030,      0.1196351,     72.7794342,      8.6687794,     48.0097656,     11.9947090
     52,J123115.37+084836.5,    187.8154297,      8.8102646,     24.5875931,    163.6300049,   3764.1335449,     48.5981750,      4.7103639,      0.1015954,     -0.2115181,      0.1279304,    101.8409500,      2.3029103,     20.7089291,      0.0000000
