,Name,RA,DEC,SpT,Teff,logg,Fe_H,ref_name,Teff_err,logg_err,Fe_H_err
90,HD 146051,243.58654166666662,-3.6939722222222224,M1III,3679,1.399999976158142,0.3199999928474426,STELIB,0.0,0.0,0.0
91,GJ 4205,323.70975,51.53711,dM3.0,3497,4.909999847412109,0.0,Schw2019,51.0,0.07,0.16
92,1RXS J221124.3+410000,332.85069,40.99964,dM5.5,3125,5.150000095367432,-0.009999999776482582,Schw2019,51.0,0.07,0.16
93,GJ521A,204.85042697,46.18649011,M1.5,3609.0,4.79,-0.12,Mald2020,68.0,0.04,0.09
94,LP 665-021,127.64037499999998,-5.979527777777778,M1.5V,3802,4.679999828338623,0.1599999964237213,Pass2018,51.0,0.07,0.16
95,TYC3379-1077-1,93.67673613,47.45961124,K7.5,3921.0,4.6,-0.02,Mald2020,71.0,0.07,0.09
96,GJ1256,310.14109545,15.49964693,M4.0,3351.0,4.97,-0.02,Mald2020,69.0,0.11,0.09
97,BD+04 4157,293.469875,4.548388888888889,M0.0V,4054,4.690000057220459,-0.20000000298023224,Pass2018,51.0,0.07,0.16
98,Gl205,82.86414936,-3.67722821,M1.5,3799.0,4.68,0.0,Mald2020,68.0,0.05,0.09
99,Gl465,186.21876081,-18.24229164,M2.5,3408.0,4.97,-0.25,Mald2020,68.0,0.08,0.09
100,Gl 609,240.71227,20.58917,dM4.0,3330,5.039999961853027,0.03999999910593033,Schw2019,51.0,0.07,0.16
101,GJ 1125,142.68577,0.32267,dM3.5,3408,5.0,-0.03999999910593033,Schw2019,51.0,0.07,0.16
102,GJ740,284.50056755,5.90812184,M0.5,3840.0,4.7,-0.13,Mald2020,69.0,0.05,0.09
103,GJ450,177.78056898,35.27201356,M1.5,3649.0,4.81,-0.22,Mald2020,68.0,0.04,0.09
104,GJ150.1B,55.93853029,16.66726928,M1.0,3725.0,4.75,-0.12,Mald2020,68.0,0.04,0.09
105,GJ 3817,209.55801,12.57886,dM3.0,3372,5.050000190734863,-0.15000000596046448,Schw2019,51.0,0.07,0.16
106,HIP31292,98.44485327,-75.62497263,M3.0,3450.0,4.87,-0.07,Mald2020,68.0,0.07,0.09
107,HD037536,85.17520833333333,31.92061111111111,M2Iabs,3789,0.699999988079071,-0.15000000596046448,MILES1,0.0,0.0,0.0
108,LP 397-041,318.62649999999996,25.72772222222222,M3.0V,3657,4.690000057220459,0.2800000011920929,Pass2018,51.0,0.07,0.16
109,NLTT21156,138.3493727,68.87519559999998,M2.0,3623.0,4.76,-0.04,Mald2020,68.0,0.04,0.09
110,BD+05 3409,262.39841666666666,5.559,M0.0V,3804,4.769999980926514,-0.14000000059604645,Pass2018,51.0,0.07,0.16
111,K2-155,65.46869,21.35359,dM0.0,3940,4.760000228881836,-0.33000001311302185,Schw2019,51.0,0.07,0.16
112,2M J21054537+5015435,316.3085416666666,50.19777777777777,M3.5V,3543,4.829999923706055,0.14000000059604645,Pass2018,51.0,0.07,0.16
