,Name,RA,DEC,SpT,Teff,logg,Fe_H,ref_name
275,G 264-018 A,331.32424999999995,65.57158333333334,M1.5V,3653,4.85,-0.15,Pass2018
276,BD-05 5715,332.2148333333333,-4.71975,M3.5V,3454,4.96,-0.01,Pass2018
277,Ross 271,332.68549999999993,18.347749999999998,M2.0V,3554,4.9,-0.1,Pass2018
278,Wolf 1014,332.95141666666666,8.470555555555556,M3.0V,3500,4.92,-0.04,Pass2018
279,LP 820-012,335.56387499999994,-17.691472222222224,M4.5V,3196,5.12,-0.05,Pass2018
280,G 232-070,336.17774999999995,59.33077777777778,M4.0V,3383,5.0,0.05,Pass2018
281,G 215-050,337.28624999999994,41.39986111111111,M4.0V,3318,5.03,0.1,Pass2018
282,BD+08 4887,338.062375,9.296027777777777,M1.0V,3660,4.87,-0.22,Pass2018
283,BD-07 5871,342.3720833333333,-7.1745833333333335,M0.5V,3895,4.73,-0.1,Pass2018
284,IL Aqr,343.1127083333333,-14.352,M4.0V,3359,5.01,0.06,Pass2018
285,StKM 1-2065,343.80241666666666,17.72497222222222,M1.0V,3824,4.7,0.07,Pass2018
286,HD 216899,343.94291666666663,16.466638888888887,M1.5V,3787,4.7,0.1,Pass2018
287,NLTT 56083,347.64537499999994,8.428527777777777,M3.5V,3404,4.99,0.01,Pass2018
288,G 029-019,349.191625,6.302472222222222,M3.0V,3481,4.93,-0.01,Pass2018
289,LP 462-027,350.20337499999994,17.197,M4.0V,3361,4.99,0.14,Pass2018
290,LP 522-065,350.6519583333333,15.481527777777778,M2.0V,3635,4.81,0.0,Pass2018
291,BD+57 2735,350.94354166666665,57.764944444444446,M1.0V,3824,4.69,0.12,Pass2018
292,GJ 899,353.30404166666665,0.08636111111111111,M2.5V,3553,4.87,0.0,Pass2018
293,G 273-093,354.3252083333333,-16.325166666666668,M2.0V,3545,4.92,-0.13,Pass2018
294,HH And,355.28174999999993,44.08180555555556,M5.0V,3144,5.13,0.05,Pass2018
295,GJ 1289,355.5816666666666,36.44747222222222,M4.0V,3247,5.1,-0.05,Pass2018
296,BR Psc,357.1021666666667,2.3075555555555556,M1.0V,3657,4.84,-0.12,Pass2018
297,GJ 912,358.70833333333326,-6.233305555555556,M2.5V,3648,4.76,0.11,Pass2018
298,GJ 1292,359.2343333333333,23.21075,M3.5V,3419,4.98,0.0,Pass2018
299,Wolf 1051,359.4314583333333,7.567916666666666,M3.0V,3470,4.94,0.0,Pass2018
