,Name,RA,DEC,SpT,Teff,logg,Fe_H,ref_name
112,HD 27496,65.18336,8.40899,G5,5561,4.1,0.33,Yee2017
113,HD 27859,66.11803,16.88617,G2V,6013,4.47,0.21,Yee2017
114,HD 28005,66.85293,46.85315,G0,5747,4.24,0.28,Yee2017
115,HD 30708,72.87268,35.81514,G5,5707,4.26,0.15,Yee2017
116,HD 31253,73.68189,12.35219,F8,6027,4.06,0.21,Yee2017
117,HD 31423,74.03739,7.90469,F5,6603,3.94,0.11,Yee2017
118,HD 31451,74.46084,39.63238,G5,4921,3.34,0.0,Yee2017
119,HD 31560,73.92463,-28.56391,K3.5Vk:,4702,4.48,0.13,Yee2017
120,HD 33636,77.94354,4.40354,G0V_CH-0.3,5960,4.49,-0.06,Yee2017
121,HD 3404,9.19506,-24.50094,G2V,5339,3.81,0.2,Yee2017
122,HD 3458,9.34562,-19.56503,G8III/IV,5101,2.95,0.12,Yee2017
123,HD 35112,80.65621,2.60319,K3V,4895,4.46,-0.08,Yee2017
124,HD 3684,9.92737,8.12279,F5,6163,3.9,0.33,Yee2017
125,HD 37008,84.54942,51.44574,K1V,4980,4.53,-0.42,Yee2017
126,HD 37124,84.26036,20.73079,G4IV-V,5604,4.6,-0.45,Yee2017
127,HD 37213,83.92118,-27.62083,G5V,5447,3.98,-0.4,Yee2017
128,HD 37394,85.33473,53.48106,K1,5249,4.5,0.15,Yee2017
129,HD 37605,85.0072,6.06058,K0,5329,4.36,0.27,Yee2017
130,HD 3795,10.13674,-23.80487,K0VFe-1.5CH-1.3,5380,4.11,-0.54,Yee2017
131,HD 38467,86.164,-29.91667,G3/5V,5753,4.15,0.24,Yee2017
132,HD 3861,10.29948,9.35506,F8V,6219,4.29,0.17,Yee2017
133,HD 39094,87.99874,37.83246,G5,5432,3.94,0.23,Yee2017
134,HD 40537,89.64767,-21.54389,K0V,4962,3.45,-0.09,Yee2017
135,HD 4203,11.17167,20.44893,G5,5582,4.08,0.35,Yee2017
136,HD 42807,93.30209,10.62714,G5V,5730,4.52,0.01,Yee2017
137,HD 4313,11.41816,7.84502,G5,4943,3.24,0.19,Yee2017
138,HD 43162,93.43873,-23.86194,G6.5V,5617,4.55,0.01,Yee2017
139,HD 4395,11.55728,-11.45238,G5/6III,5495,3.61,-0.15,Yee2017
140,HD 44985,96.33435,11.23325,F8,5984,4.36,-0.02,Yee2017
141,HD 45067,96.31894,-0.94588,F9V,5940,3.92,-0.01,Yee2017
142,HD 48345,100.94654,18.6559,G5,4992,3.32,0.2,Yee2017
143,HD 5133,13.25473,-30.35691,K2.5Vk:,4921,4.55,-0.06,Yee2017
144,HD 53927,107.01766,29.8345,K2.5V,4899,4.56,-0.29,Yee2017
145,HD 56274,108.96165,-13.04948,G7VFe-1.5CH-1.3,5788,4.56,-0.51,Yee2017
146,HD 57204,110.49956,39.96,G5,5097,3.52,0.21,Yee2017
147,HD 6030,15.4287,9.74603,G5,4926,3.26,0.07,Yee2017
148,HD 61606,114.9972,-3.59751,K3V,4918,4.53,0.09,Yee2017
149,HD 61995,115.94674,43.79465,G5,4989,3.26,-0.04,Yee2017
150,HD 63754,117.4386,-20.20762,G0V,6033,3.99,0.24,Yee2017
151,HD 64413,118.46577,0.33146,G8III,4906,2.69,-0.15,Yee2017
152,HD 66428,120.86945,-1.16271,G8IV(+G),5670,4.29,0.23,Yee2017
153,HD 68988,124.59239,61.46072,G0,5866,4.29,0.31,Yee2017
154,HD 69960,125.56709,56.83646,G5,5600,4.06,0.28,Yee2017
155,HD 72440,128.75451,50.472,G5,5599,3.75,-0.01,Yee2017
156,HD 72490,128.40272,13.55079,G5,4935,3.21,-0.11,Yee2017
157,HD 72687,128.31408,-29.95659,G5V,5795,4.53,0.03,Yee2017
158,HD 72760,128.63187,-0.72607,K0V,5293,4.52,0.09,Yee2017
159,HD 74390,131.3392,42.40384,G8III,4874,3.23,0.19,Yee2017
160,HD 77818,136.85892,58.87505,K1IV,4777,3.19,-0.01,Yee2017
161,HD 80367,139.86797,0.89706,K0V,5073,4.43,0.04,Yee2017
162,HD 80606,140.65657,50.60373,G5,5525,4.31,0.29,Yee2017
163,HD 8407,20.76089,-16.56031,G6/8III/IV,4923,3.05,-0.12,Yee2017
164,HD 84737,147.14738,46.02101,G0.5Va,5872,4.1,0.14,Yee2017
165,HD 8553,21.22477,18.49993,K2,5054,4.48,-0.01,Yee2017
166,HD 8594,21.42318,44.78654,K0,4800,3.07,0.14,Yee2017
167,HD 86081,149.02466,-3.80842,G1V,5939,4.14,0.23,Yee2017
168,HD 87424,151.15691,-11.7297,K2Vk:,5017,4.56,-0.05,Yee2017
169,HD 87883,152.17975,34.24226,K0V,4942,4.5,0.13,Yee2017
170,HD 88133,152.53199,18.18687,G5,5392,3.88,0.33,Yee2017
171,HD 88654,153.31845,-8.44555,G8IV,5197,3.59,0.19,Yee2017
172,HD 93396,161.70725,-9.39902,G8/K0IV,5327,3.74,0.31,Yee2017
173,HD 95088,164.82475,43.87339,G5,5103,3.65,0.28,Yee2017
174,HD 95526,165.53575,43.72111,K0,4832,3.2,-0.06,Yee2017
175,HD 9625,23.5681,-6.27259,K0III,4946,2.89,0.16,Yee2017
176,HD 96612,167.05839,38.42663,K0V,4862,4.53,-0.11,Yee2017
177,KOI-1925,293.67917,46.85276,K0V,5410,4.48,0.11,Yee2017
178,KOI-975,287.36181,38.71402,F6IV,6190,4.0,-0.16,Yee2017
179,KOI-1612,284.78618,48.42322,F8V,6060,4.29,-0.2,Yee2017
180,KIC 10018963,294.7528,46.90194,F6IV,6020,3.95,-0.35,Yee2017
181,KIC 10068307,288.97786,47.06118,F6IV,6114,3.93,-0.22,Yee2017
182,KIC 10162436,298.72575,47.14526,F8IV,6200,3.95,-0.08,Yee2017
183,KIC 10355856,297.55947,47.47365,F5IV-V,6350,4.08,-0.19,Yee2017
184,KIC 10454113,284.15268,47.65641,F9IV-V,6120,4.31,-0.06,Yee2017
185,KIC 10516096,282.39025,47.711,F9IV-V,5940,4.18,-0.06,Yee2017
186,KIC 10644253,280.92676,47.93778,G0V,6030,4.4,0.12,Yee2017
187,KIC 10709834,281.44793,48.0825,F5IV-V,6508,4.09,-0.08,Yee2017
188,KIC 11026764,290.35262,48.51482,G1V,5682,3.88,0.05,Yee2017
189,KIC 11137075,291.62109,48.71209,G5IV-V,5590,4.01,-0.06,Yee2017
190,KIC 11244118,291.83537,48.95334,G5IV,5745,4.09,0.35,Yee2017
191,KIC 11414712,297.09337,49.23663,G3V,5635,3.8,-0.05,Yee2017
192,KIC 11717120,294.07853,49.82415,G8IV,5150,3.68,-0.3,Yee2017
193,KIC 12009504,289.44083,50.48008,F9IV-V,6065,4.21,-0.09,Yee2017
194,KIC 12258514,291.59204,50.98731,G0.5IV,5990,4.11,0.04,Yee2017
195,KIC 1435467,292.08265,37.05982,F8IV,6264,4.09,-0.01,Yee2017
196,KIC 3427720,286.43859,38.52293,F9IV-V,6040,4.38,-0.03,Yee2017
197,KIC 3656476,294.20339,38.71577,G5IV,5710,4.23,0.34,Yee2017
198,KIC 4914923,289.14543,40.04732,G1.5V,5905,4.21,0.17,Yee2017
199,KIC 5021689,294.71969,40.15378,F8IV,6168,4.02,-0.08,Yee2017
200,KIC 5184732,291.12645,40.32324,G1V,5840,4.26,0.38,Yee2017
201,KIC 5596656,282.82013,40.85394,G5IV,5094,3.35,-0.46,Yee2017
202,KIC 5773345,285.4377,41.08058,G0.5IV,6130,4.0,0.21,Yee2017
203,KIC 5955122,290.12227,41.29125,F9IV-V,5837,3.87,-0.17,Yee2017
204,KIC 6106415,285.41533,41.49009,G0,5990,4.31,-0.09,Yee2017
205,KIC 6116048,289.44315,41.41023,F9IV-V,5935,4.28,-0.24,Yee2017
206,KIC 6225718,297.32558,41.58246,F8V,6230,4.32,-0.17,Yee2017
207,KIC 6442183,291.58045,41.8702,G1V,5760,4.03,-0.11,Yee2017
208,KIC 6603624,291.04664,42.0527,G8IV-V,5625,4.32,0.28,Yee2017
209,KIC 6933899,286.74305,42.43561,G0.5IV,5860,4.09,0.02,Yee2017
210,KIC 7206837,293.76557,42.73798,F8IV,6304,4.17,0.14,Yee2017
211,KIC 7680114,290.98505,43.31459,G0V,5855,4.18,0.11,Yee2017
212,KIC 7747078,289.72556,43.4963,F9IV-V,5840,3.91,-0.26,Yee2017
213,KIC 7799349,281.05338,43.53399,K1IV,5115,3.67,0.41,Yee2017
214,KIC 7871531,282.915,43.63602,G5V,5400,4.49,-0.24,Yee2017
215,KIC 7940546,283.06875,43.70991,F6IV,6264,3.99,-0.19,Yee2017
216,KIC 7970740,295.44019,43.7477,G9V,5290,4.58,-0.49,Yee2017
217,KIC 7976303,297.05955,43.74693,F8V,6053,3.87,-0.53,Yee2017
218,KIC 8006161,281.14633,43.83327,G8V,5390,4.49,0.34,Yee2017
219,KIC 8179536,296.34985,44.07663,F6IV,6344,4.27,0.01,Yee2017
220,KIC 8228742,290.19975,44.15521,F9IV-V,6042,4.02,-0.14,Yee2017
221,KIC 8394589,300.46427,44.35393,F8V,6114,4.32,-0.36,Yee2017
222,KIC 8524425,300.63884,44.53305,G2.5V,5634,3.98,0.14,Yee2017
223,KIC 8561221,292.28517,44.64124,G9.5IV,5245,3.61,-0.06,Yee2017
224,KIC 8694723,293.96072,44.88056,G0IV,6120,4.1,-0.59,Yee2017
225,KIC 8702606,296.57436,44.82767,G5IV-V,5540,3.76,-0.09,Yee2017
226,KIC 8751420,291.01408,44.93354,G8IV,5264,3.7,-0.15,Yee2017
227,KIC 8938364,285.54124,45.2776,G3V,5630,4.16,-0.2,Yee2017
228,KIC 9098294,295.08838,45.48916,G3V,5840,4.3,-0.13,Yee2017
229,KIC 9139151,284.0886,45.51479,G0.5IV,6125,4.38,0.11,Yee2017
230,KIC 9139163,284.09219,45.50704,F8IV,6400,4.18,0.15,Yee2017
231,KIC 9206432,285.93806,45.60839,F8IV,6608,4.23,0.23,Yee2017
232,HIP 10337,33.30069,-21.19645,K7V,4051,4.67,0.12,Yee2017
233,HIP 105341,320.05759,-19.85228,K6.5Vk,4033,4.67,-0.05,Yee2017
234,HIP 114156,346.77941,-23.15945,K6Vk,4146,4.67,-0.02,Yee2017
235,HIP 118261,359.80708,-26.04875,K4Vk:,4615,4.62,-0.04,Yee2017
236,HIP 12493,40.17864,1.19868,K7V,4276,4.68,-0.29,Yee2017
237,HIP 15095,48.68593,-26.44625,K5.5Vk:,4227,4.67,-0.21,Yee2017
238,HIP 1532,4.77318,-9.96485,M0V,4039,4.71,-0.37,Yee2017
239,HIP 19165,61.64517,-20.85312,K7V,4298,4.68,-0.22,Yee2017
240,HIP 25220,80.90991,17.32412,K4V,4505,4.63,0.05,Yee2017
241,HIP 36551,112.78213,14.61414,K5,4395,4.66,-0.3,Yee2017
242,HIP 40375,123.64964,13.02283,K5V,4334,4.65,0.03,Yee2017
243,HIP 40910,125.23054,14.07133,M0V,4159,4.67,-0.06,Yee2017
244,HIP 45839,140.18465,-5.75397,K4V,4426,4.63,0.05,Yee2017
245,HIP 47201,144.29725,22.69414,K5,4207,4.66,0.03,Yee2017
246,HIP 48411,148.04734,3.22184,K5V,4357,4.63,0.2,Yee2017
247,HIP 4845,15.58806,-10.42386,M0V,3967,4.72,-0.19,Yee2017
248,HIP 54810,168.30514,4.48234,K5V,4395,4.64,0.03,Yee2017
249,HIP 5663,18.19221,-25.23558,K6Vk:,4186,4.67,-0.05,Yee2017
250,HIP 66222,203.58959,4.6674,K5V,3904,4.7,-0.11,Yee2017
251,HIP 93871,286.7585,7.61588,K5V,4449,4.67,-0.47,Yee2017
252,HIP 97051,295.85557,10.08951,M0,4200,4.7,-0.19,Yee2017
253,HD 111631,192.68153,-0.76813,M0V,3989,4.66,0.24,Yee2017
254,HD 1326B,4.60624,44.02712,M3.5Ve,3218,5.07,-0.3,Yee2017
255,HD 157881,261.43847,2.11142,K7V,4124,4.66,0.19,Yee2017
256,HD 165222,271.28158,-3.03132,M0V,3614,4.79,-0.22,Yee2017
257,HD 180617,289.23024,5.1689,M3-V,3558,4.76,0.1,Yee2017
258,HD 209290,330.54281,1.40023,M0.5V,3848,4.74,0.02,Yee2017
259,HD 232979,69.42054,52.89361,M0.5V,3929,4.68,-0.11,Yee2017
260,HD 245409,84.12913,11.32787,K6V,3966,4.69,0.05,Yee2017
261,HD 265866,103.70399,33.26818,M3V,3448,4.88,-0.02,Yee2017
262,HD 28343,67.25052,21.9227,M0.5V,4124,4.64,0.39,Yee2017
