,Name,RA,DEC,SpT,Teff,logg,Fe_H,ref_name
147,HD027295,64.85874999999999,21.142305555555556,B9IV,11704,3.93,-0.74,MILES1
148,HD027371,64.94833333333331,15.627638888888889,K0III,4956,2.71,0.07,MILES1
149,HD027771,65.88470833333334,14.670472222222221,G5,5143,4.5,0.07,MILES1
150,HD027819,66.024,17.44413888888889,A7V,7957,4.32,,MILES1*
151,HD028305,67.15416666666665,19.18041666666667,G9.5III,4846,2.68,0.11,MILES1
152,HD285773,67.38166666666666,17.893194444444443,G5,5208,4.46,-0.05,MILES1
153,HD028946,68.46,5.385027777777778,K0,5162,4.39,-0.26,MILES1
154,HD028978,68.53445833333332,5.568611111111111,A2Vs,9164,3.7,0.14,MILES1
155,HD029065,68.54904166666665,-8.97025,K4III,4034,1.79,-0.3,MILES1
156,HD029139,68.98016666666666,16.509305555555557,K5III,3922,1.41,-0.18,MILES1
157,BD+501021,69.53262499999998,51.170138888888886,G8:V:,4850,4.1,-0.9,MILES1
158,BD+450983,71.82658333333333,45.98630555555555,G8:V:,5200,4.5,-0.25,MILES1
159,HD030743,72.42599999999999,-13.769666666666668,F3-5V,6411,4.12,-0.34,MILES1
160,HD030504,72.47766666666665,37.48827777777778,K4III,4000,1.52,-0.3,MILES1
161,HD030649,72.93149999999999,45.83416666666667,G1V-VI,5699,4.22,-0.51,MILES1
162,HD031128,73.04129166666667,-27.06413888888889,F3/F5Vw,5825,4.3,-1.5,MILES1
163,HD030959,73.13316666666667,14.250638888888888,M3Svar,3451,0.8,-0.15,MILES1
164,HD030834,73.15825000000001,36.70319444444445,K3III,4115,1.73,-0.21,MILES1
165,HD031295,73.72387499999999,10.150833333333333,A0V,8990,4.08,-0.89,MILES1
166,HD031767,74.63708333333332,1.714,K2II,4120,1.55,0.26,MILES1
167,HD032147,75.20416666666667,-5.753666666666667,K3V,4658,4.47,0.02,MILES1
168,HD032655,76.70645833333332,43.17469444444444,F2IIp?,6900,2.26,0.1,MILES1
169,HD033256,77.18208333333332,-4.456194444444445,F2V,6359,4.12,-0.33,MILES1
170,HD033276,77.42479166666666,15.597222222222223,F2IV,6909,3.3,0.25,MILES1
171,HD293857,77.79033333333332,-4.1817777777777785,G8V,5450,4.5,0.0,MILES1
172,HD033608,77.82991666666666,-2.4907777777777778,F5V,6542,4.06,0.31,MILES1
173,HD034538,79.41766666666666,-13.519833333333334,G8IV,4891,2.91,-0.33,MILES1
174,MS0515.4-0710,79.47833333333332,-7.13111111111111,K2e,4570,3.5,0.16,MILES1
175,HD034411,79.78529166666665,40.09905555555556,G0V,5835,4.17,0.06,MILES1
176,HD035155,80.57766666666666,-8.666111111111112,S?,3600,0.8,-0.72,MILES1
177,HD035179,80.58754166666665,-14.39725,G8IV,4720,1.6,-0.67,MILES1
178,HD035369,80.98679166666666,-7.808055555555556,G8III,4863,2.5,-0.26,MILES1
179,HD035296,81.10608333333333,17.38352777777778,F8V,6091,4.25,0.04,MILES1
180,HD035620,81.91204166666667,34.47588888888889,K4IIIp,4367,1.75,-0.03,MILES1
181,HD036003,82.10874999999999,-3.4995555555555558,K5V,4465,4.61,0.09,MILES1
182,HD036395,82.86416666666666,-3.677222222222222,M1V,3737,4.9,-1.5,MILES1
183,HD037160,84.22662499999998,9.290666666666667,G8III-IV,4668,2.46,-0.5,MILES1
184,HD037792,85.07262499999999,-19.227166666666665,F2IV/V,6564,4.22,-0.44,MILES1
185,HD037536,85.17520833333333,31.92061111111111,M2Iabs,3789,0.7,-0.15,MILES1
186,HD037828,85.22766666666666,-11.200055555555554,K0,4296,1.14,-1.38,MILES1
187,HD037394,85.33475,53.48105555555556,K1V,5294,4.33,0.03,MILES1
188,HD037984,85.61929166666665,1.474638888888889,K1III,4397,2.49,-0.55,MILES1
189,HD038392,86.11058333333332,-22.42188888888889,K2V,4727,4.5,0.02,MILES1
190,HD038393,86.11579166666667,-22.44838888888889,F6V,6331,4.27,-0.05,MILES1
191,HD038007,86.37445833333332,52.161055555555556,G0,5665,4.04,-0.33,MILES1
192,HD038545,86.80479166666666,14.488305555555554,A3Vn,8970,3.6,-0.3,MILES1
193,HD038751,87.25404166666665,24.567527777777777,G8IIIvar,4751,2.27,0.04,MILES1
194,HD038656,87.29354166666666,39.18105555555555,G8III,4928,2.52,-0.22,MILES1
195,HD039364,87.83041666666665,-20.879083333333334,G8III/IV,4569,2.46,-0.9,MILES1
196,HD039853,88.68179166666665,-11.774194444444445,K5III,3994,1.0,-0.4,MILES1
197,HD039833,88.75816666666667,-0.5079722222222223,G0III,5761,3.85,0.29,MILES1
198,HD039801,88.79291666666666,7.407055555555556,M2Iab,3550,0.0,0.03,MILES1
199,HD039970,89.23383333333332,24.249694444444444,A0Ia,9400,1.43,,MILES1*
200,HD040657,90.01395833333332,-3.07425,K1.5III,4370,2.19,-0.52,MILES1
201,HD250792,90.81191666666665,19.360750000000003,G0V,5440,4.29,-1.21,MILES1
202,HD041312,90.81499999999998,-26.284555555555556,K3II/IIICNv,4000,0.93,-0.55,MILES1
203,HD041117,90.97991666666665,20.138444444444445,B2Iave,17463,2.7,,MILES1*
204,HD251611,91.48974999999999,7.317527777777777,F8,5353,3.75,-1.7,MILES1
205,HD041692,91.66141666666665,-4.193833333333334,B5IV,14400,3.12,-0.4,MILES1
206,HD041636,92.09641666666666,41.05572222222222,G9III,4709,2.5,-0.2,MILES1
207,HD042182,92.39962499999999,5.6688888888888895,G0,5117,4.54,0.11,MILES1
208,HD041597,92.49587499999998,58.935694444444444,G8III,4700,2.38,-0.54,MILES1
209,HD042474,92.98437499999999,23.207055555555556,M2Iabpe...,3789,0.7,-0.36,MILES1
210,HD042543,93.07958333333332,22.9085,M1Ia-ab,3614,0.0,-0.42,MILES1
211,HD043042,93.71199999999999,19.156444444444443,F6V,6569,4.22,0.08,MILES1
212,HD043318,93.89274999999998,-0.5121944444444444,F6V,6224,3.93,-0.15,MILES1
213,BD+371458,94.00633333333332,37.72188888888889,G0,5200,3.0,-2.1,MILES1
214,HD043380,94.57029166666665,46.36044444444445,K2III,4577,2.34,0.08,MILES1
215,HD044007,94.70220833333332,-14.84538888888889,G5IVw,4969,2.26,-1.47,MILES1
216,HD043378,94.90579166666664,59.01097222222222,A2Vs,9120,4.17,-0.32,MILES1
217,HD043947,94.91737499999999,16.01325,F8V,5912,4.23,-0.31,MILES1
218,HD044030,95.14720833333332,25.60813888888889,K4III,4198,1.0,-0.5,MILES1
219,HD044889,95.99504166666667,-9.068777777777777,K0,3775,0.4,-0.2,MILES1
220,HD044691A,96.60766666666666,56.28508333333333,A3m,7950,3.95,0.35,MILES1
221,HD045282,96.66987499999999,3.4249444444444443,G0,5348,3.24,-1.44,MILES1
222,HD045829,97.50954166666666,7.921111111111111,K0Iab,4500,0.2,0.0,MILES1
223,HD046341,98.15829166666666,-6.488472222222223,G0,5750,4.1,-0.8,MILES1
224,HD047205,99.17099999999998,-19.25588888888889,K1IV,4751,2.93,0.05,MILES1
225,HD046703,99.46841666666666,53.51722222222222,F7IVw,6000,0.4,-1.62,MILES1
226,HD047914,100.77070833333332,44.52444444444444,K5III,3975,1.5,0.05,MILES1
227,HD048329,100.98304166666667,25.13111111111111,G8Ib,4302,0.87,-0.02,MILES1
228,HD048433,100.99704166666666,13.228027777777777,K1III,4460,1.88,-0.25,MILES1
229,BD+151305,101.17908333333331,14.909972222222223,,5175,4.1,-0.6,MILES1
230,HD048565,101.22883333333331,20.86063888888889,F8,5929,3.59,-0.7,MILES1
231,HD048682,101.68475,43.57741666666667,G0V,5989,4.06,0.05,MILES1
232,HD049161,101.83262499999998,8.03725,K4III,4176,1.69,0.08,MILES1
233,HD049331,101.90508333333332,-8.9985,M1II,3600,0.7,-0.03,MILES1
234,HD049933,102.707625,-0.5408888888888889,F2V,6598,4.08,-0.29,MILES1
235,HD050778,103.5475,-12.038638888888888,K4III,4009,1.6,-0.27,MILES1
236,HD050420,103.81108333333331,43.91002777777778,A9III,7412,3.4,0.3,MILES1
237,HD051440,104.76187499999999,38.052305555555556,K2III,4405,2.28,-0.35,MILES1
238,HD052005,105.06591666666665,16.079,K4Iab,4117,0.2,-0.2,MILES1
239,HD052973,106.02720833333332,20.570305555555557,G0Ibvar,5659,1.37,0.34,MILES1
240,HD053927,107.01766666666666,29.8345,G5,4811,4.5,-0.74,MILES1
241,HD054605,107.09783333333333,-26.393194444444443,F8Ia,6268,0.97,0.1,MILES1
242,BD+371665,107.53458333333332,37.27608333333333,G5,4905,3.3,-1.38,MILES1
