,Name,RA,DEC,SpT,Teff,logg,Fe_H,ref_name,Teff_err,logg_err,Fe_H_err
163,Gl 512A,202.08783,-2.36031,dM3.0,3482,4.92,0.01,Schw2019,51.0,0.07,0.16
164,Gl 513,202.3388,11.44074,dM3.5,3449,4.93,0.09,Schw2019,51.0,0.07,0.16
165,Gl 514,202.49911,10.37716,dM0.5,3714,4.81,-0.15,Schw2019,51.0,0.07,0.16
166,GJ 3801,205.68029,33.29009,dM3.5,3373,5.02,-0.01,Schw2019,51.0,0.07,0.16
167,Gl 525,206.27117,17.78544,dM1.0,3806,4.85,-0.43,Schw2019,51.0,0.07,0.16
168,Gl 526,206.4324,14.89152,dM1.5,3678,4.79,-0.04,Schw2019,51.0,0.07,0.16
169,GJ 3804,206.46131,-17.96822,dM3.5,3402,4.99,0.01,Schw2019,51.0,0.07,0.16
170,RX J1353.6+7737,208.41165,77.61893,dM4.0,3295,5.08,-0.07,Schw2019,51.0,0.07,0.16
171,GJ 3817,209.55801,12.57886,dM3.0,3372,5.05,-0.15,Schw2019,51.0,0.07,0.16
172,GJ 3820,209.79338,-19.83435,dM4.0,3264,5.09,-0.04,Schw2019,51.0,0.07,0.16
173,Gl 536,210.26328,-2.65487,dM1.0,3724,4.77,-0.04,Schw2019,51.0,0.07,0.16
174,Gl 540,212.05409,80.59728,dM1.0,3841,4.67,0.16,Schw2019,51.0,0.07,0.16
175,GJ 3836,213.82075,45.0148,dM3.0,3480,4.91,0.04,Schw2019,51.0,0.07,0.16
176,RX J1417.3+4525,214.34209,45.42944,dM5.0,3196,5.13,-0.1,Schw2019,51.0,0.07,0.16
177,Gl 549B,216.29825,51.83142,dM2.5,3521,4.91,-0.07,Schw2019,51.0,0.07,0.16
178,Gl 548B,216.44438,23.62047,dM0.5,3947,4.65,0.17,Schw2019,51.0,0.07,0.16
179,Gl 548A,216.43115,23.61708,dM0.0,4024,4.64,0.17,Schw2019,51.0,0.07,0.16
180,Gl 552,217.37374,15.53264,dM2.0,3671,4.76,0.06,Schw2019,51.0,0.07,0.16
181,Gl 553,217.69882,-8.64633,dM0.5,4089,4.63,0.14,Schw2019,51.0,0.07,0.16
182,Gl 553.1,217.75484,-12.2961,dM3.5,3400,5.0,0.0,Schw2019,51.0,0.07,0.16
183,Gl 555,218.57005,-12.51956,dM4.0,3337,5.01,0.12,Schw2019,51.0,0.07,0.16
184,GJ 3871,223.11889,12.39244,dM2.0,3548,4.89,-0.08,Schw2019,51.0,0.07,0.16
185,GJ 3873,223.61628,35.54917,dM3.5,3379,5.0,0.06,Schw2019,51.0,0.07,0.16
186,GJ 3885,225.33378,5.54876,dM3.0,3425,4.99,-0.06,Schw2019,51.0,0.07,0.16
187,GJ 3892,227.3983,3.16682,dM3.0,3492,4.92,-0.01,Schw2019,51.0,0.07,0.16
188,Gl 581,229.86178,-7.72228,dM3.0,3441,4.98,-0.08,Schw2019,51.0,0.07,0.16
189,GJ 9520,230.47055,20.97775,dM1.5,3486,5.02,-0.34,Schw2019,51.0,0.07,0.16
190,Gl 592,234.24427,-14.13382,dM4.0,3370,5.0,0.07,Schw2019,51.0,0.07,0.16
191,GJ 3916,236.85229,-10.89646,dM2.0,3528,4.95,-0.21,Schw2019,51.0,0.07,0.16
192,LP 022-420,237.47982,79.66435,dM5.0,3152,5.13,-0.01,Schw2019,51.0,0.07,0.16
