,Name,RA,DEC,SpT,Teff,logg,Fe_H,ref_name
114,HD 092769,160.75812499999998,26.325694444444444,A4Vn,6380,4.1,-0.15,STELIB
115,HD 093250,161.18766666666664,-59.565194444444444,O5,51000,3.9,,STELIB*
116,HD 093430,161.84241666666665,16.922416666666667,G0,,,,STELIB*
117,HD 093765,162.47387499999996,27.97386111111111,F5V,6811,3.7,-0.1,STELIB
118,HD 094028,162.86787499999997,20.27861111111111,F4V,5969,4.28,-1.45,STELIB
119,HD 094264,163.32766666666663,34.21555555555556,K0III-IV,4657,2.86,-0.2,STELIB
120,HD 094247,163.3938333333333,54.58513888888889,K3III,4243,2.28,-0.16,STELIB
121,HD 095345,165.14016666666666,3.6175277777777777,K1III,4527,2.48,-0.19,STELIB
122,HD 095418,165.45995833333333,56.382333333333335,A1V,9452,3.94,0.22,STELIB
123,HD 095735,165.835875,35.98147222222222,M2V,3739,4.96,-0.2,STELIB
124,HD 097633,168.56016666666665,15.429749999999999,A2V,9360,3.6,0.03,STELIB
125,HD 097916,168.9754583333333,2.0867222222222224,F5V,6308,4.08,-1.11,STELIB
126,HD 098262,169.61983333333333,33.09425,K3III,4119,1.74,-0.11,STELIB
127,HD 098839,170.70670833333332,43.48275,G8II,4886,2.3,0.03,STELIB
128,HD 099028,170.9807083333333,10.529694444444445,F2IV,6703,3.98,0.07,STELIB
129,HD 099747,172.26958333333332,61.77777777777778,F5Vawvar,6580,4.23,-0.57,STELIB
130,HD 100006,172.62116666666665,18.40975,K0III,4755,3.0,0.02,STELIB
131,HD 100889,174.17062499999997,-9.80225,B9.5Vn,,,,STELIB*
132,HD 101501,175.26262499999999,34.202555555555556,G8Vvar,5380,4.55,-0.11,STELIB
133,HD 101606,175.39374999999998,31.745972222222225,F4V,6210,4.32,-0.79,STELIB
134,LTT  4364,176.42916666666665,-64.84138888888889,DC:,,,,STELIB*
135,HD 102212,176.46487499999998,6.529805555555556,M0III,3660,,,STELIB*
136,HD 102224,176.51304166666665,47.779333333333334,K0III,4358,1.61,-0.46,STELIB
137,HD 102634,177.2558333333333,-0.31866666666666665,F7V,6314,4.12,0.18,STELIB
138,HD 102870,177.67204166666664,1.765388888888889,F8V,6121,4.13,0.15,STELIB
139,HD 103036,177.95887499999998,-5.762166666666666,G3Ibpvar,4275,0.49,-1.64,STELIB
140,HD 104893,181.17979166666666,-29.18475,K0I,4500,0.96,-1.9,STELIB
141,HD 105546,182.26149999999998,59.01825,G2IIIw,5224,2.39,-1.37,STELIB
142,HD 106038,183.00624999999997,13.262361111111112,F6V-VI,5988,4.41,-1.35,STELIB
143,HD 107213,184.8735833333333,28.15722222222222,F8Vs,6318,4.06,0.26,STELIB
144,HD 108177,186.39574999999996,1.285111111111111,sdF5,6069,4.33,-1.69,STELIB
145,HD 109995,189.69870833333331,39.30913888888889,A0p,8293,3.16,-1.27,STELIB
146,HD 110897,191.24866666666662,39.27858333333333,G0V,5845,4.24,-0.48,STELIB
147,HD 111028,191.59324999999998,9.540777777777778,K1III-IV,4710,3.0,-0.4,STELIB
148,HD 112033C,193.32391666666666,21.244944444444446,G8III+...,4926,2.94,0.2,STELIB
149,HD 112300,193.902,3.397611111111111,M3III,3684,1.3,-0.14,STELIB
150,HD 113022,195.16191666666666,18.37286111111111,F6Vs,6380,4.2,0.1,STELIB
151,HD 113139,195.181625,56.36633333333334,F2V,,,,STELIB*
152,HD 113337,195.44645833333334,63.61016666666667,F6V,6545,4.2,0.07,STELIB
153,HD 113226,195.5448333333333,10.95911111111111,G8IIIvar,5017,2.79,0.09,STELIB
154,HD 113848,196.58866666666663,21.153499999999998,F4V,6628,4.03,-0.27,STELIB
155,HD 114330,197.48754166666666,-5.538916666666666,A1V,9509,3.67,-0.02,STELIB
156,HD 115383,199.194625,9.423694444444443,G0Vs,5981,4.1,0.08,STELIB
157,HD 116842,201.30591666666663,54.988,A5V,8066,,,STELIB*
158,HD 117176,202.10812499999997,13.780194444444446,G5V,5485,3.84,-0.09,STELIB
159,HD 120136,206.8168333333333,17.456777777777777,F7V,6445,4.22,0.27,STELIB
160,HD 122408,210.4115833333333,1.5445833333333332,A3V,8290,,,STELIB*
161,HD 122563,210.63316666666665,9.686277777777779,F8IV,4588,1.21,-2.66,STELIB
162,HD 123299,211.09762499999997,64.37580555555554,A0III,9927,3.17,-0.33,STELIB
163,HD 124425,213.4194583333333,-0.8451111111111111,F7Vw,6380,4.04,0.09,STELIB
164,HD 124570,213.5222083333333,12.959583333333333,F6IV,6192,4.06,0.07,STELIB
165,HD 124850,214.00366666666665,-5.999527777777778,F7V,6143,3.89,-0.13,STELIB
166,HD 125560,214.9388333333333,16.306805555555556,K3III,4426,2.42,0.0,STELIB
167,HD 126141,215.7788333333333,25.338027777777775,F5V,6632,4.3,0.0,STELIB
168,HD 126660,216.3000833333333,51.85172222222222,F7V,6369,4.29,-0.05,STELIB
169,HD 127665,217.95774999999998,30.37113888888889,K3III,4251,1.95,-0.25,STELIB
170,HD 128167,218.66954166666662,29.744805555555555,F3Vwva,6746,4.23,-0.42,STELIB
171,HD 130109,221.56245833333332,1.8929444444444443,A0V,10110,,,STELIB*
172,HD 130948,222.5655,23.911777777777775,G2V,5947,4.07,0.07,STELIB
173,HD 131156,222.84699999999995,19.10063888888889,G8V,5512,4.59,-0.04,STELIB
174,HD 132142,223.79999999999998,53.67919444444444,K1V,5125,4.5,-0.55,STELIB
175,HD 134083,226.82479166666664,24.869583333333335,F5V,6583,4.2,0.06,STELIB
176,HD 134169,227.07524999999995,3.930638888888889,G1Vw,5827,3.97,-0.87,STELIB
177,HD 135722,228.87541666666664,33.31511111111111,G8III,4803,2.51,-0.4,STELIB
178,HD 136202,229.82741666666664,1.7666666666666666,F8III-IV,6068,3.94,-0.12,STELIB
