,Name,RA,DEC,SpT,Teff,logg,Fe_H,ref_name,Teff_err,logg_err,Fe_H_err
103,G 241-18,340.22799999999995,66.52341666666666,G5,5511,4.0,-0.61,CFLIB,0.0,0.0,0.0
104,G 243-63,17.42941666666666,61.54727777777778,F8V,5150,2.8,-1.58,CFLIB,0.0,0.0,0.0
105,G 244-59,34.20504166666666,64.95261111111111,G8V,5478,4.5,-0.55,CFLIB,0.0,0.0,0.0
106,G 245-32,26.801624999999994,73.47422222222222,sd:F2,6346,4.48,-1.62,CFLIB,0.0,0.0,0.0
107,G 246-38,52.8225,66.73027777777779,G0,5250,4.2,-2.1,CFLIB,0.0,0.0,0.0
108,G 249-49,97.56529166666665,60.78411111111111,G0,5825,4.0,-0.89,CFLIB,0.0,0.0,0.0
109,G 250-22,102.48758333333332,60.33555555555556,K5,,,,CFLIB*,0.0,0.0,0.0
110,G 256-34,247.66166666666666,77.44652777777779,K1III,4667,2.5,-0.5,CFLIB,0.0,0.0,0.0
111,G 257-32,244.17812499999997,67.23883333333333,K7,3720,4.67,0.0,CFLIB,0.0,0.0,0.0
112,G 259-35,281.77683333333334,74.72541666666667,G5III,5000,2.5,-1.44,CFLIB,0.0,0.0,0.0
113,G 270-23,9.633124999999998,-8.309277777777778,F5V,6041,4.01,-1.2,CFLIB,0.0,0.0,0.0
114,BD-15 872,72.43454166666666,-15.741194444444444,F2,,,,CFLIB*,0.0,0.0,0.0
115,BD-11 4126,245.86212499999996,-11.594611111111112,K3V,5000,4.3,0.2,CFLIB,0.0,0.0,0.0
116,BD-10 3166,164.61991666666665,-10.77038888888889,K0V,5400,4.4,0.5,CFLIB,0.0,0.0,0.0
117,BD-01 2582,178.40549999999996,-2.0101944444444446,F0,5150,2.5,-2.25,CFLIB,0.0,0.0,0.0
118,BD+01 2916,215.4385833333333,0.7831111111111112,K0,4150,0.1,-1.99,CFLIB,0.0,0.0,0.0
119,BD+04 4551,312.2113333333333,5.199666666666667,F7Vw,5892,4.14,-1.4,CFLIB,0.0,0.0,0.0
120,BD+09 3063,232.42499999999995,9.533333333333333,,4755,1.5,-0.6,CFLIB,0.0,0.0,0.0
121,BD+09 3223,248.39825,9.104527777777777,,5350,2.0,-2.26,CFLIB,0.0,0.0,0.0
122,BD+11 2998,247.56991666666664,10.997694444444443,F8,5425,2.3,-1.17,CFLIB,0.0,0.0,0.0
123,BD+18 2890,218.0562083333333,17.423416666666668,,5000,2.2,-1.58,CFLIB,0.0,0.0,0.0
124,BD+18 2976,226.85120833333332,17.449527777777778,G0,4550,1.3,-2.42,CFLIB,0.0,0.0,0.0
125,BD+25 2436,179.12016666666665,24.987833333333334,G7III,4990,2.4,-0.48,CFLIB,0.0,0.0,0.0
126,BD+25 2479,184.20595833333334,24.855805555555555,G8III,,4.0,0.3,CFLIB,0.0,0.0,0.0
127,BD+25 2497,185.52054166666665,25.105611111111113,G6III,4850,2.4,-0.7,CFLIB,0.0,0.0,0.0
128,BD+26 2276,179.33816666666664,25.234694444444447,G6III,,4.0,0.3,CFLIB,0.0,0.0,0.0
129,BD+27 2057,176.8697083333333,26.412666666666667,G7III,4840,2.1,-0.6,CFLIB,0.0,0.0,0.0
130,BD+27 2096,181.7525,27.016083333333334,G6III,,4.0,0.3,CFLIB,0.0,0.0,0.0
131,BD+27 2126,186.35466666666662,27.000777777777778,G5,,,,CFLIB*,0.0,0.0,0.0
132,BD+28 2079,181.74416666666662,27.796472222222224,G7III,4950,2.5,-0.44,CFLIB,0.0,0.0,0.0
133,BD+29 2231,178.9680833333333,28.437444444444445,G7III,5060,2.5,-0.39,CFLIB,0.0,0.0,0.0
134,BD+29 2294,187.54462499999997,28.406694444444444,G5III-IVp,5020,2.1,-0.54,CFLIB,0.0,0.0,0.0
135,BD+30 2611,226.72429166666663,30.01025,G8III,4500,1.4,-1.37,CFLIB,0.0,0.0,0.0
136,BD+30 2931,256.969,30.547861111111114,K2,,,,CFLIB*,0.0,0.0,0.0
137,BD+31 2356,185.41454166666665,30.39602777777778,G6III,,4.0,0.3,CFLIB,0.0,0.0,0.0
138,BD+34 2371,194.4554583333333,33.650305555555555,G7III,4980,2.5,-0.18,CFLIB,0.0,0.0,0.0
139,BD+36 2303,190.84379166666665,36.17330555555555,G7III,4700,1.8,-0.76,CFLIB,0.0,0.0,0.0
140,BD+36 368,29.406624999999995,37.66052777777777,K1III,4629,2.4,-0.17,CFLIB,0.0,0.0,0.0
141,BD+37 2312,190.72154166666664,36.83152777777778,G7III,,4.0,0.3,CFLIB,0.0,0.0,0.0
142,BD+37 2319,191.21554166666664,36.254583333333336,G6III,,4.0,0.3,CFLIB,0.0,0.0,0.0
143,BD+37 448,29.720416666666665,37.815888888888885,G9III,4726,2.27,-0.15,CFLIB,0.0,0.0,0.0
144,BD+39 2554,191.08887499999994,38.41708333333333,G6III,,4.0,0.3,CFLIB,0.0,0.0,0.0
145,BD+45 1668,135.78245833333332,44.58558333333333,A9.2,,,,CFLIB*,0.0,0.0,0.0
146,HD 249,1.8439999999999999,26.45061111111111,K1IV,4723,2.4,-0.32,CFLIB,0.0,0.0,0.0
147,HD 358,2.0969166666666665,29.090444444444444,B8IVmnp...,13622,4.0,-0.3,CFLIB,0.0,0.0,0.0
148,HD 400,2.170583333333333,36.62711111111111,F8IV,4840,2.85,-0.15,CFLIB,0.0,0.0,0.0
149,HD 417,2.2172499999999995,25.46297222222222,K0III,4826,2.4,-0.26,CFLIB,0.0,0.0,0.0
150,HD 693,2.816083333333333,-15.467972222222222,F5V,6204,4.07,-0.38,CFLIB,0.0,0.0,0.0
151,HD 886,3.308958333333333,15.183583333333333,B2IV,22670,4.02,-0.34,CFLIB,0.0,0.0,0.0
152,HD 1227,4.141833333333333,8.240166666666665,G8II-III,5050,2.6,0.29,CFLIB,0.0,0.0,0.0
153,HD 1406,4.586499999999999,30.395944444444442,K3III,4376,3.0,0.16,CFLIB,0.0,0.0,0.0
154,HD 1522,4.856958333333332,-8.823916666666667,K1.5III,4500,2.34,-0.09,CFLIB,0.0,0.0,0.0
155,HD 1918,5.930166666666667,45.08913888888889,G9III,4865,2.01,-0.47,CFLIB,0.0,0.0,0.0
156,HD 1967,6.008125,38.57702777777778,Se...,,,,CFLIB*,0.0,0.0,0.0
157,HD 2126,6.4007499999999995,34.11713888888889,K0III-IV,4672,2.47,-0.3,CFLIB,0.0,0.0,0.0
158,HD 2454,7.083541666666666,10.189861111111112,F6Vawvar,6488,4.08,-0.37,CFLIB,0.0,0.0,0.0
159,HD 2628,7.530666666666665,29.751555555555555,A7III,7270,3.5,-0.2,CFLIB,0.0,0.0,0.0
160,HD 2665,7.689374999999999,57.06488888888889,G5IIIw,5061,2.35,-1.94,CFLIB,0.0,0.0,0.0
161,HD 2796,7.820458333333334,-16.794666666666668,Fw,4900,1.6,-2.23,CFLIB,0.0,0.0,0.0
162,HD 2857,7.974124999999999,-5.261916666666667,A2,7522,2.5,-1.64,CFLIB,0.0,0.0,0.0
163,HD 2952,8.293291666666667,54.89497222222222,K0III,4748,2.14,-0.13,CFLIB,0.0,0.0,0.0
164,HD 3268,8.978333333333333,13.207055555555554,F7V,6176,4.06,-0.25,CFLIB,0.0,0.0,0.0
165,HD 3360,9.242833333333332,53.89691666666667,B2IV,22180,3.92,-0.23,CFLIB,0.0,0.0,0.0
166,HD 3454,9.487458333333333,47.40772222222222,F5,6056,4.29,-0.59,CFLIB,0.0,0.0,0.0
167,HD 3546,9.638958333333331,29.31175,G8III,4930,3.16,-0.64,CFLIB,0.0,0.0,0.0
168,HD 3817,10.279916666666665,39.45866666666667,G8III,4970,2.85,-0.26,CFLIB,0.0,0.0,0.0
169,HD 4128,10.897374999999998,-17.986611111111113,K0III,4750,2.45,0.13,CFLIB,0.0,0.0,0.0
170,HD 4188,11.047499999999998,-10.609555555555556,K0III,4790,2.9,-0.16,CFLIB,0.0,0.0,0.0
171,HD 4306,11.363166666666666,-9.54438888888889,G0,4800,1.7,-2.92,CFLIB,0.0,0.0,0.0
