,Name,RA,DEC,SpT,Teff,logg,Fe_H,ref_name
112,HD018632,45.01171,7.74975,G5,5076,4.51,0.22,TGMET
113,HD018768,45.71779,47.11055,F8,5739,3.82,-0.55,TGMET
114,HD018803,45.60844,26.60924,G8V,5647,4.44,0.14,TGMET
115,HD018885,45.48383,-9.9614,G6III:,4727,2.6,0.16,TGMET
116,HD019270,46.5987,13.18725,K3III,4723,2.4,0.15,TGMET
117,HD019308,46.91418,36.61762,G0,5835,4.32,0.1,TGMET
118,HD019476,47.37405,44.85754,K0III,4941,3.0,0.17,TGMET
119,HD019787,47.90735,19.72668,K2IIIvar,4841,2.83,0.12,TGMET
120,HD019845,48.34947,48.17695,G9III,4933,2.8,0.11,TGMET
121,HD020039,49.66041,72.27512,F8,5107,3.56,-0.73,TGMET
122,HD020123,49.05085,50.93767,G5II,5326,,-0.07,TGMET*
123,HD020165,48.69678,8.98079,K0,5132,4.49,-0.03,TGMET
124,HD020468,49.68261,34.22265,K2II,4325,1.42,-0.17,TGMET
125,HD020512,49.61306,15.17735,G5,5198,3.62,-0.22,TGMET
126,HD020630,49.8404,3.3702,G5Vvar,5708,4.51,0.05,TGMET
127,HD020791,50.27834,3.67562,G8.5III,4986,2.8,0.11,TGMET
128,HD021183,51.58761,35.34058,F9V,,,,TGMET*
129,HD021197,51.24888,-5.36376,K5V,4664,4.61,0.26,TGMET
130,HD022049,53.23269,-9.45826,K2V,5108,4.55,-0.06,TGMET
131,HD023183,55.94672,19.66504,G8III,4786,1.75,-0.5,TGMET
132,HD023249,55.81209,-9.76339,K0IV,5082,3.9,0.14,TGMET
133,HD023439,56.75884,41.42726,K1V,5052,4.5,-1.08,TGMET
134,HD024040,57.5957,17.47637,G0,5820,4.36,0.21,TGMET
135,HD024053,57.53704,6.62069,G0,5720,4.4,0.04,TGMET
136,HD024206,58.02332,22.67163,G0,5633,4.5,-0.08,TGMET
137,HD024238,58.76601,61.16681,K0V,4981,4.5,-0.5,TGMET
138,HD024409,59.048,59.64189,G0,5748,,-0.26,TGMET*
139,HD024496,58.61681,16.61605,G0,5509,4.56,0.01,TGMET
140,HD025329,60.8125,35.27327,K1V...,4810,4.65,-1.76,TGMET
141,HD025532,61.04587,23.40753,F6IV-V,5371,2.02,-1.37,TGMET
142,HD025602,61.65265,54.00866,K0III-IV,4693,2.4,-0.42,TGMET
143,HD025604,61.17381,22.08192,K0III,4764,2.74,0.13,TGMET
144,HD025665,62.396,69.54139,G5,4961,4.51,-0.03,TGMET
145,HD025680,61.33441,22.0089,G5V,5895,4.56,0.05,TGMET
146,HD025893,61.89314,38.07454,G5,5387,,-0.07,TGMET*
147,HD026297,62.26424,-15.89085,G5/G6IVw,4440,1.01,-1.77,TGMET
148,HD026546,63.13065,17.27746,K0III,4743,2.25,-0.01,TGMET
149,HD026630,63.72443,48.40933,G0Ib...,5349,1.42,-0.12,TGMET
150,HD026659,67.5015,83.34038,G8III,5178,2.9,-0.13,TGMET
151,HD026755,64.28374,57.86036,K1III,4630,2.2,-0.06,TGMET
152,HD026913,63.85744,6.19965,G5IV,5612,4.54,-0.07,TGMET
153,HD026965,63.818,-7.65287,K1V,5163,4.51,-0.25,TGMET
154,HD027022,65.16802,65.14044,G5III,5278,2.37,0.05,TGMET
155,HD027348,65.10266,34.56673,G8III,4970,2.8,0.05,TGMET
156,HD027371,64.94835,15.62764,G8III,4963,2.74,0.12,TGMET
157,HD027685,65.68652,16.79102,G4V,5621,4.5,0.03,TGMET
158,HD027697,65.73372,17.54251,G8III,4931,2.71,0.12,TGMET
159,HD028005,66.85293,46.85315,G0,5940,4.29,0.28,TGMET
160,HD028099,66.66717,16.7469,G8V,5785,4.43,0.12,TGMET
161,HD028292,67.10988,16.35967,K2IIIvar,4485,2.36,-0.11,TGMET
162,HD028305,67.15416,19.18043,K0III,4891,2.56,0.14,TGMET
163,HD028307,67.14373,15.96218,G7III,4981,2.8,0.07,TGMET
164,HD028343,67.25052,21.9227,K7V,4211,,0.05,TGMET*
165,HD028447,67.58357,28.13189,G5,5668,4.05,-0.06,TGMET
166,HD028946,68.45999,5.38503,K0,5321,4.55,-0.09,TGMET
167,HD029139,68.98016,16.5093,K5III,3887,1.06,-0.17,TGMET
168,HD029574,69.73222,-13.34671,G8/K0IIIwF7,4155,0.14,-1.91,TGMET
169,HD029587,70.40132,42.11847,G2V,5638,4.42,-0.62,TGMET
170,HD029697,70.32857,20.90151,K3V,4448,4.29,0.11,TGMET
171,HD030557,72.78885,48.74068,G9III,4829,2.45,-0.07,TGMET
172,HD030834,73.15825,36.70318,K3III,4115,1.73,-0.21,TGMET
173,HD031444,73.82771,-16.41777,G6/G8III,5080,2.75,-0.17,TGMET
174,HD032147,75.20417,-5.75367,K3V,4822,4.38,0.3,TGMET
175,HD032850,76.6759,14.44623,K0V,5249,,0.12,TGMET*
176,HD032963,76.98235,26.32796,G5IV,5763,4.43,0.08,TGMET
177,HD033419,77.51359,-0.56533,K0III,4701,2.3,0.0,TGMET
178,HD033618,78.79751,59.40569,K2III-IV,4590,2.3,0.05,TGMET
179,HD034200,80.1695,66.74688,G5,5003,2.8,0.04,TGMET
180,HD034559,79.81917,22.09649,G8III,5002,2.87,0.04,TGMET
181,HD034878,80.18234,2.54478,G8IV,,,0.0,TGMET*
182,HD035171,80.90992,17.32412,K2,4515,4.08,0.04,TGMET
183,HD035369,80.98678,-7.80806,G8III,4846,2.41,-0.23,TGMET
184,HD035620,81.91203,34.47589,K4IIIp,4198,1.83,0.08,TGMET
185,HD036395,82.86415,-3.67723,M1V,3742,4.71,0.21,TGMET
186,HD037008,84.54942,51.44574,K2V,4989,4.48,-0.48,TGMET
187,HD037124,84.26036,20.73079,G4IV-V,5557,4.5,-0.41,TGMET
188,HD037160,84.22662,9.29067,G8III-IV,4718,2.55,-0.53,TGMET
189,HD037394,85.33473,53.48106,K1V,5211,4.49,0.12,TGMET
190,HD037638,86.03519,61.47654,G5III:,5093,2.8,-0.01,TGMET
191,HD037828,85.22769,-11.20005,K0,4333,1.29,-1.39,TGMET
192,HD037984,85.6193,1.47463,K1III,4346,2.49,-0.55,TGMET
